selling_price,new-price,km_driven,owner_type,mileage,engine,max_power,seats,transmission_type_Manual,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,name_audi a6,name_audi a8,name_audi q7,name_bentley continental,name_bmw 3,name_bmw 5,name_bmw 6,name_bmw 7,name_bmw x1,name_bmw x3,name_bmw x4,name_bmw x5,name_bmw z4,name_datsun go,name_datsun redi-go,name_datsun redigo,name_ferrari gtc4lusso,name_force gurkha,name_ford aspire,name_ford ecosport,name_ford endeavour,name_ford figo,name_ford freestyle,name_honda amaze,name_honda city,name_honda civic,name_honda cr,name_honda cr-v,name_honda jazz,name_honda wr-v,name_hyundai aura,name_hyundai creta,name_hyundai elantra,name_hyundai grand,name_hyundai i10,name_hyundai i20,name_hyundai kona,name_hyundai santro,name_hyundai tucson,name_hyundai venue,name_hyundai verna,name_isuzu d-max,name_isuzu mux,name_jaguar f-pace,name_jaguar xe,name_jaguar xf,name_jeep compass,name_jeep wrangler,name_kia carnival,name_kia seltos,name_land rover,name_lexus es,name_lexus nx,name_lexus rx,name_mahindra alturas,name_mahindra bolero,name_mahindra e,name_mahindra kuv,name_mahindra kuv100,name_mahindra marazzo,name_mahindra scorpio,name_mahindra thar,name_mahindra xuv300,name_mahindra xuv500,name_maruti alto,name_maruti baleno,name_maruti celerio,name_maruti ciaz,name_maruti dzire,name_maruti eeco,name_maruti ertiga,name_maruti ignis,name_maruti s-presso,name_maruti swift,name_maruti vitara,name_maruti wagon,name_maruti xl6,name_maserati ghibli,name_maserati quattroporte,name_mercedes-amg c,name_mercedes-benz c-class,name_mercedes-benz cls,name_mercedes-benz e-class,name_mercedes-benz gl-class,name_mercedes-benz glc,name_mercedes-benz gls,name_mercedes-benz s-class,name_mg hector,name_mini cooper,name_nissan kicks,name_nissan x-trail,name_porsche cayenne,name_porsche macan,name_porsche panamera,name_renault duster,name_renault kwid,name_renault triber,name_rolls-royce ghost,name_skoda octavia,name_skoda rapid,name_skoda superb,name_tata altroz,name_tata harrier,name_tata hexa,name_tata nexon,name_tata safari,name_tata tiago,name_tata tigor,name_toyota camry,name_toyota fortuner,name_toyota glanza,name_toyota innova,name_toyota yaris,name_volkswagen polo,name_volkswagen vento,name_volvo s90,name_volvo xc,name_volvo xc60,name_volvo xc90,yearsOld
39.0,74.41,49.0,1,16.55,2993,258.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
5.4,14.95,104.5,1,22.32,1582,126.3,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
5.89,14.275,38.2,1,17.4,1497,117.3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
4.5,10.67,90.0,1,18.6,1197,81.83,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
2.9,8.95,85.0,1,16.47,1198,74.0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0
3.65,6.28,57.835,1,21.79,998,67.05,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
5.7,15.18,100.0,1,26.0,1498,98.6,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
8.0,11.6,35.0,1,23.0,1498,98.96,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
2.6,6.02,50.0,1,20.51,998,67.04,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
3.5,6.205,73.0,1,20.63,1198,67.0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
